,user_id,user_created_at,device,sex,home_pg,search_pg,payment_pg,confirmation_pg
8626,427569,2015-01-08,Mobile,Male,1,1,1,1
10676,340946,2015-01-08,Mobile,Female,1,1,1,1
30074,807606,2015-01-08,Desktop,Female,1,1,1,1
44614,467375,2015-01-08,Desktop,Female,1,1,1,1
82886,724605,2015-01-08,Mobile,Male,1,1,1,1
402,638114,2015-01-09,Mobile,Female,1,1,1,1
10600,841681,2015-01-09,Mobile,Female,1,1,1,1
21530,985095,2015-01-09,Mobile,Female,1,1,1,1
78852,255699,2015-01-09,Desktop,Female,1,1,1,1
9334,712132,2015-01-10,Desktop,Male,1,1,1,1
14637,933655,2015-01-10,Mobile,Male,1,1,1,1
22280,95691,2015-01-10,Mobile,Female,1,1,1,1
70838,303801,2015-01-10,Desktop,Female,1,1,1,1
73513,169165,2015-01-10,Mobile,Male,1,1,1,1
73879,783716,2015-01-10,Desktop,Male,1,1,1,1
85621,674513,2015-01-10,Mobile,Female,1,1,1,1
15971,779623,2015-01-11,Mobile,Female,1,1,1,1
24808,893870,2015-01-11,Mobile,Female,1,1,1,1
24923,537845,2015-01-11,Mobile,Female,1,1,1,1
51353,761027,2015-01-11,Mobile,Female,1,1,1,1
53920,779484,2015-01-11,Desktop,Female,1,1,1,1
65589,195110,2015-01-11,Desktop,Male,1,1,1,1
69179,694807,2015-01-11,Mobile,Female,1,1,1,1
2614,397473,2015-01-12,Mobile,Female,1,1,1,1
7588,930760,2015-01-12,Mobile,Male,1,1,1,1
20682,513639,2015-01-12,Mobile,Male,1,1,1,1
36777,582445,2015-01-12,Mobile,Female,1,1,1,1
74752,923746,2015-01-12,Desktop,Female,1,1,1,1
75482,190121,2015-01-12,Desktop,Female,1,1,1,1
44722,379877,2015-01-13,Desktop,Male,1,1,1,1
12745,753854,2015-01-14,Desktop,Female,1,1,1,1
15155,554826,2015-01-14,Mobile,Female,1,1,1,1
30878,353905,2015-01-14,Mobile,Female,1,1,1,1
48394,967485,2015-01-14,Mobile,Female,1,1,1,1
77173,260404,2015-01-14,Desktop,Female,1,1,1,1
86438,71591,2015-01-14,Mobile,Female,1,1,1,1
13642,338722,2015-01-15,Desktop,Female,1,1,1,1
19089,348643,2015-01-15,Mobile,Male,1,1,1,1
36321,401537,2015-01-15,Mobile,Male,1,1,1,1
48590,504018,2015-01-15,Mobile,Female,1,1,1,1
57047,397157,2015-01-15,Mobile,Female,1,1,1,1
77246,736250,2015-01-15,Mobile,Female,1,1,1,1
85330,585325,2015-01-15,Mobile,Male,1,1,1,1
6813,482864,2015-01-16,Desktop,Female,1,1,1,1
12618,677116,2015-01-16,Mobile,Male,1,1,1,1
31412,110742,2015-01-16,Desktop,Male,1,1,1,1
56233,630919,2015-01-16,Mobile,Female,1,1,1,1
85468,88119,2015-01-16,Mobile,Female,1,1,1,1
20603,407188,2015-01-17,Mobile,Female,1,1,1,1
44775,941606,2015-01-17,Desktop,Female,1,1,1,1
48971,254669,2015-01-17,Desktop,Female,1,1,1,1
80786,407249,2015-01-17,Mobile,Female,1,1,1,1
88169,92180,2015-01-17,Mobile,Female,1,1,1,1
7391,400188,2015-01-18,Mobile,Male,1,1,1,1
18726,638892,2015-01-18,Mobile,Female,1,1,1,1
38684,535475,2015-01-18,Mobile,Male,1,1,1,1
83943,395342,2015-01-18,Mobile,Female,1,1,1,1
90163,370509,2015-01-18,Desktop,Male,1,1,1,1
31215,116964,2015-01-19,Mobile,Male,1,1,1,1
34541,812258,2015-01-19,Mobile,Female,1,1,1,1
45270,930763,2015-01-19,Mobile,Male,1,1,1,1
47941,204007,2015-01-19,Desktop,Female,1,1,1,1
69781,558802,2015-01-19,Mobile,Male,1,1,1,1
70495,201374,2015-01-19,Mobile,Male,1,1,1,1
75901,517992,2015-01-19,Mobile,Male,1,1,1,1
78888,402418,2015-01-19,Mobile,Female,1,1,1,1
81849,21080,2015-01-19,Mobile,Female,1,1,1,1
84657,207777,2015-01-19,Desktop,Male,1,1,1,1
28077,459045,2015-01-20,Mobile,Female,1,1,1,1
30949,370354,2015-01-20,Desktop,Female,1,1,1,1
33103,177122,2015-01-20,Mobile,Female,1,1,1,1
65582,586259,2015-01-20,Mobile,Female,1,1,1,1
66134,373207,2015-01-20,Desktop,Male,1,1,1,1
76132,446198,2015-01-20,Mobile,Male,1,1,1,1
81599,309350,2015-01-20,Desktop,Male,1,1,1,1
19398,317174,2015-01-21,Mobile,Female,1,1,1,1
27325,604207,2015-01-21,Desktop,Male,1,1,1,1
27629,734759,2015-01-21,Mobile,Male,1,1,1,1
40380,131772,2015-01-21,Desktop,Male,1,1,1,1
49311,526109,2015-01-21,Desktop,Male,1,1,1,1
50155,847783,2015-01-21,Mobile,Female,1,1,1,1
82086,443377,2015-01-21,Desktop,Male,1,1,1,1
2453,392514,2015-01-22,Mobile,Male,1,1,1,1
16995,208377,2015-01-22,Mobile,Female,1,1,1,1
37375,930435,2015-01-22,Mobile,Male,1,1,1,1
41959,969105,2015-01-22,Mobile,Female,1,1,1,1
46998,285405,2015-01-22,Mobile,Male,1,1,1,1
6862,939959,2015-01-23,Desktop,Female,1,1,1,1
15018,535329,2015-01-23,Mobile,Male,1,1,1,1
31525,705035,2015-01-23,Desktop,Male,1,1,1,1
52003,95551,2015-01-23,Mobile,Female,1,1,1,1
52618,318400,2015-01-23,Mobile,Female,1,1,1,1
52669,385027,2015-01-23,Desktop,Male,1,1,1,1
59150,415219,2015-01-23,Mobile,Male,1,1,1,1
65750,518777,2015-01-23,Mobile,Female,1,1,1,1
72746,667095,2015-01-23,Desktop,Female,1,1,1,1
23373,852145,2015-01-24,Desktop,Female,1,1,1,1
85217,52580,2015-01-24,Desktop,Female,1,1,1,1
86646,894357,2015-01-24,Desktop,Female,1,1,1,1
800,448390,2015-01-25,Mobile,Female,1,1,1,1
1589,14647,2015-01-25,Mobile,Female,1,1,1,1
19874,334507,2015-01-25,Mobile,Female,1,1,1,1
21033,190170,2015-01-25,Mobile,Female,1,1,1,1
42730,462226,2015-01-25,Desktop,Female,1,1,1,1
57502,132536,2015-01-25,Desktop,Male,1,1,1,1
67556,342803,2015-01-25,Mobile,Male,1,1,1,1
70840,816118,2015-01-25,Desktop,Male,1,1,1,1
11486,403943,2015-01-26,Desktop,Female,1,1,1,1
38188,345248,2015-01-26,Mobile,Male,1,1,1,1
41453,650659,2015-01-26,Mobile,Female,1,1,1,1
48112,60704,2015-01-26,Mobile,Female,1,1,1,1
70310,271874,2015-01-26,Desktop,Female,1,1,1,1
79917,446347,2015-01-26,Mobile,Male,1,1,1,1
53451,516732,2015-01-27,Mobile,Female,1,1,1,1
56304,802357,2015-01-27,Mobile,Male,1,1,1,1
64618,433920,2015-01-27,Mobile,Female,1,1,1,1
86427,740761,2015-01-27,Mobile,Female,1,1,1,1
8785,114597,2015-01-28,Mobile,Female,1,1,1,1
16343,572478,2015-01-28,Mobile,Female,1,1,1,1
30707,308881,2015-01-28,Mobile,Female,1,1,1,1
33637,537852,2015-01-28,Mobile,Female,1,1,1,1
41412,20486,2015-01-28,Desktop,Female,1,1,1,1
44845,605466,2015-01-28,Mobile,Female,1,1,1,1
44888,58959,2015-01-28,Mobile,Male,1,1,1,1
76246,107058,2015-01-28,Mobile,Male,1,1,1,1
1138,487247,2015-01-29,Desktop,Male,1,1,1,1
35060,43283,2015-01-29,Desktop,Female,1,1,1,1
50819,526427,2015-01-29,Mobile,Male,1,1,1,1
73499,894052,2015-01-29,Desktop,Female,1,1,1,1
81607,435925,2015-01-29,Desktop,Male,1,1,1,1
2413,994662,2015-01-30,Mobile,Female,1,1,1,1
19978,558913,2015-01-30,Desktop,Female,1,1,1,1
30674,816599,2015-01-30,Mobile,Female,1,1,1,1
45284,561699,2015-01-30,Mobile,Male,1,1,1,1
785,337704,2015-01-31,Desktop,Male,1,1,1,1
26809,100016,2015-01-31,Mobile,Male,1,1,1,1
28230,435639,2015-01-31,Mobile,Male,1,1,1,1
42241,733831,2015-01-31,Mobile,Male,1,1,1,1
45267,611476,2015-01-31,Desktop,Female,1,1,1,1
88478,464724,2015-01-31,Mobile,Female,1,1,1,1
5164,316881,2015-02-01,Mobile,Female,1,1,1,1
19832,697493,2015-02-01,Mobile,Male,1,1,1,1
25919,989337,2015-02-01,Desktop,Female,1,1,1,1
46308,780826,2015-02-01,Mobile,Female,1,1,1,1
54644,540272,2015-02-01,Mobile,Female,1,1,1,1
65875,999315,2015-02-01,Mobile,Female,1,1,1,1
71249,738398,2015-02-01,Mobile,Female,1,1,1,1
22041,473150,2015-02-02,Desktop,Female,1,1,1,1
49924,504055,2015-02-02,Mobile,Female,1,1,1,1
57537,462584,2015-02-02,Desktop,Female,1,1,1,1
68400,597672,2015-02-02,Mobile,Male,1,1,1,1
71357,255474,2015-02-02,Mobile,Female,1,1,1,1
75848,360196,2015-02-02,Mobile,Female,1,1,1,1
88326,830622,2015-02-02,Mobile,Male,1,1,1,1
1318,491776,2015-02-03,Mobile,Male,1,1,1,1
7714,169773,2015-02-03,Desktop,Female,1,1,1,1
42412,813956,2015-02-03,Mobile,Male,1,1,1,1
47123,753770,2015-02-03,Desktop,Female,1,1,1,1
49919,538348,2015-02-03,Mobile,Female,1,1,1,1
50868,172550,2015-02-03,Desktop,Female,1,1,1,1
65957,876721,2015-02-03,Desktop,Male,1,1,1,1
76293,276166,2015-02-03,Desktop,Female,1,1,1,1
1303,706843,2015-02-04,Mobile,Male,1,1,1,1
36968,71944,2015-02-04,Mobile,Male,1,1,1,1
67121,500567,2015-02-04,Mobile,Female,1,1,1,1
88121,593170,2015-02-04,Desktop,Male,1,1,1,1
61,13830,2015-02-05,Desktop,Male,1,1,1,1
2646,561949,2015-02-05,Desktop,Male,1,1,1,1
5922,365738,2015-02-05,Desktop,Female,1,1,1,1
48383,255702,2015-02-05,Mobile,Female,1,1,1,1
51943,257083,2015-02-05,Desktop,Female,1,1,1,1
52710,31866,2015-02-05,Mobile,Male,1,1,1,1
11295,166056,2015-02-06,Desktop,Male,1,1,1,1
36845,398264,2015-02-06,Mobile,Male,1,1,1,1
47404,182641,2015-02-06,Mobile,Female,1,1,1,1
48945,712756,2015-02-06,Mobile,Female,1,1,1,1
71345,263888,2015-02-06,Mobile,Male,1,1,1,1
88025,51269,2015-02-06,Mobile,Female,1,1,1,1
3168,189356,2015-02-07,Mobile,Female,1,1,1,1
7463,567797,2015-02-07,Mobile,Female,1,1,1,1
20039,744742,2015-02-07,Mobile,Female,1,1,1,1
24716,860829,2015-02-07,Mobile,Female,1,1,1,1
36997,501216,2015-02-07,Desktop,Male,1,1,1,1
49365,434620,2015-02-07,Desktop,Male,1,1,1,1
58890,638894,2015-02-07,Desktop,Female,1,1,1,1
66440,229753,2015-02-07,Mobile,Female,1,1,1,1
80136,153716,2015-02-07,Desktop,Male,1,1,1,1
7292,849323,2015-02-08,Mobile,Male,1,1,1,1
29661,445105,2015-02-08,Mobile,Male,1,1,1,1
44576,551623,2015-02-08,Mobile,Male,1,1,1,1
60956,18898,2015-02-08,Mobile,Male,1,1,1,1
65504,89418,2015-02-08,Desktop,Female,1,1,1,1
78550,280705,2015-02-08,Mobile,Female,1,1,1,1
5819,646417,2015-02-09,Desktop,Female,1,1,1,1
13308,757092,2015-02-09,Mobile,Male,1,1,1,1
29950,827348,2015-02-09,Mobile,Female,1,1,1,1
53565,302844,2015-02-09,Mobile,Male,1,1,1,1
53751,460508,2015-02-09,Desktop,Female,1,1,1,1
78754,339746,2015-02-09,Mobile,Female,1,1,1,1
86269,547501,2015-02-09,Desktop,Female,1,1,1,1
87027,791555,2015-02-09,Mobile,Male,1,1,1,1
88364,990959,2015-02-09,Mobile,Male,1,1,1,1
90343,377893,2015-02-09,Desktop,Male,1,1,1,1
9393,367520,2015-02-10,Mobile,Female,1,1,1,1
55466,226004,2015-02-10,Mobile,Female,1,1,1,1
56321,515725,2015-02-10,Mobile,Female,1,1,1,1
82797,898285,2015-02-10,Mobile,Male,1,1,1,1
87115,97026,2015-02-10,Mobile,Male,1,1,1,1
261,559850,2015-02-11,Mobile,Female,1,1,1,1
8323,995148,2015-02-11,Mobile,Female,1,1,1,1
34594,806139,2015-02-11,Desktop,Male,1,1,1,1
66583,112136,2015-02-11,Mobile,Female,1,1,1,1
89155,30217,2015-02-11,Mobile,Male,1,1,1,1
5389,146341,2015-02-12,Mobile,Female,1,1,1,1
46727,255228,2015-02-12,Mobile,Male,1,1,1,1
53251,949305,2015-02-12,Desktop,Male,1,1,1,1
76210,572199,2015-02-12,Desktop,Male,1,1,1,1
43563,972956,2015-02-13,Mobile,Male,1,1,1,1
8452,832554,2015-02-14,Mobile,Male,1,1,1,1
8656,622779,2015-02-14,Mobile,Female,1,1,1,1
11113,83158,2015-02-14,Mobile,Male,1,1,1,1
19303,811076,2015-02-14,Mobile,Male,1,1,1,1
22770,86629,2015-02-14,Mobile,Male,1,1,1,1
51008,97920,2015-02-14,Desktop,Male,1,1,1,1
51264,801852,2015-02-14,Desktop,Female,1,1,1,1
53952,575137,2015-02-14,Mobile,Female,1,1,1,1
80914,164029,2015-02-14,Mobile,Male,1,1,1,1
85433,170212,2015-02-14,Mobile,Female,1,1,1,1
24427,28812,2015-02-15,Mobile,Male,1,1,1,1
35064,211983,2015-02-15,Mobile,Male,1,1,1,1
38954,761846,2015-02-15,Mobile,Male,1,1,1,1
89244,869943,2015-02-15,Mobile,Male,1,1,1,1
4589,404655,2015-02-16,Mobile,Female,1,1,1,1
17961,396337,2015-02-16,Mobile,Female,1,1,1,1
18583,615140,2015-02-16,Mobile,Female,1,1,1,1
28296,294363,2015-02-16,Mobile,Female,1,1,1,1
53038,664260,2015-02-16,Mobile,Male,1,1,1,1
61029,283098,2015-02-16,Desktop,Female,1,1,1,1
79739,707216,2015-02-16,Mobile,Female,1,1,1,1
10281,371291,2015-02-17,Mobile,Female,1,1,1,1
13270,820062,2015-02-17,Desktop,Male,1,1,1,1
14503,898109,2015-02-17,Mobile,Male,1,1,1,1
21830,344537,2015-02-17,Mobile,Male,1,1,1,1
24689,4561,2015-02-17,Mobile,Male,1,1,1,1
43129,723260,2015-02-17,Desktop,Male,1,1,1,1
46388,409001,2015-02-17,Desktop,Female,1,1,1,1
46494,319180,2015-02-17,Desktop,Male,1,1,1,1
51606,831902,2015-02-17,Mobile,Female,1,1,1,1
68555,638830,2015-02-17,Mobile,Female,1,1,1,1
8328,800545,2015-02-18,Mobile,Male,1,1,1,1
75864,822237,2015-02-18,Mobile,Female,1,1,1,1
79029,435207,2015-02-18,Mobile,Female,1,1,1,1
1861,594960,2015-02-19,Desktop,Male,1,1,1,1
12727,682241,2015-02-19,Desktop,Male,1,1,1,1
48545,795953,2015-02-19,Mobile,Male,1,1,1,1
49475,404903,2015-02-19,Mobile,Male,1,1,1,1
53935,118869,2015-02-19,Mobile,Female,1,1,1,1
55471,423926,2015-02-19,Desktop,Male,1,1,1,1
81935,38522,2015-02-19,Mobile,Female,1,1,1,1
31756,214674,2015-02-20,Desktop,Male,1,1,1,1
46517,690233,2015-02-20,Mobile,Male,1,1,1,1
74322,910539,2015-02-20,Mobile,Male,1,1,1,1
3167,758567,2015-02-21,Desktop,Male,1,1,1,1
29638,190699,2015-02-21,Mobile,Female,1,1,1,1
41851,699561,2015-02-21,Desktop,Female,1,1,1,1
42623,24398,2015-02-21,Desktop,Male,1,1,1,1
58716,607194,2015-02-21,Desktop,Male,1,1,1,1
78737,654654,2015-02-21,Mobile,Male,1,1,1,1
80058,182205,2015-02-21,Mobile,Male,1,1,1,1
31254,542275,2015-02-22,Mobile,Female,1,1,1,1
36297,941726,2015-02-22,Mobile,Male,1,1,1,1
44945,331768,2015-02-22,Desktop,Female,1,1,1,1
68807,543231,2015-02-22,Mobile,Male,1,1,1,1
69077,963370,2015-02-22,Desktop,Male,1,1,1,1
81369,720954,2015-02-22,Mobile,Female,1,1,1,1
1961,111601,2015-02-23,Mobile,Male,1,1,1,1
4653,778462,2015-02-23,Mobile,Male,1,1,1,1
50582,998450,2015-02-23,Desktop,Female,1,1,1,1
58943,248554,2015-02-23,Mobile,Male,1,1,1,1
67155,755867,2015-02-23,Desktop,Female,1,1,1,1
76465,330089,2015-02-23,Mobile,Female,1,1,1,1
8016,373557,2015-02-24,Desktop,Male,1,1,1,1
18329,123100,2015-02-24,Desktop,Female,1,1,1,1
24704,753438,2015-02-24,Mobile,Male,1,1,1,1
27461,391189,2015-02-24,Mobile,Female,1,1,1,1
50554,9477,2015-02-24,Mobile,Female,1,1,1,1
50564,644958,2015-02-24,Mobile,Female,1,1,1,1
67880,795005,2015-02-24,Desktop,Male,1,1,1,1
78603,910504,2015-02-24,Desktop,Female,1,1,1,1
82522,82165,2015-02-24,Desktop,Female,1,1,1,1
83292,941876,2015-02-24,Mobile,Female,1,1,1,1
85469,548887,2015-02-24,Mobile,Male,1,1,1,1
412,581956,2015-02-25,Mobile,Male,1,1,1,1
39786,143291,2015-02-25,Mobile,Female,1,1,1,1
59861,866605,2015-02-25,Mobile,Female,1,1,1,1
60491,79913,2015-02-25,Mobile,Male,1,1,1,1
68441,371719,2015-02-25,Mobile,Male,1,1,1,1
37797,250112,2015-02-26,Desktop,Female,1,1,1,1
49776,666429,2015-02-26,Mobile,Female,1,1,1,1
57727,274773,2015-02-26,Mobile,Male,1,1,1,1
66643,271016,2015-02-26,Mobile,Female,1,1,1,1
71562,247128,2015-02-26,Desktop,Male,1,1,1,1
77633,730515,2015-02-26,Mobile,Male,1,1,1,1
9304,366008,2015-02-27,Mobile,Male,1,1,1,1
19867,110910,2015-02-27,Mobile,Male,1,1,1,1
83801,122067,2015-02-27,Desktop,Female,1,1,1,1
2013,589518,2015-02-28,Mobile,Male,1,1,1,1
10973,380093,2015-02-28,Mobile,Female,1,1,1,1
17532,898153,2015-02-28,Mobile,Female,1,1,1,1
23200,731698,2015-02-28,Mobile,Female,1,1,1,1
24158,940714,2015-02-28,Desktop,Male,1,1,1,1
33769,950777,2015-02-28,Mobile,Female,1,1,1,1
90295,528989,2015-02-28,Mobile,Male,1,1,1,1
70307,950703,2015-03-02,Desktop,Female,1,1,1,1
83337,590792,2015-03-02,Mobile,Male,1,1,1,1
7660,340286,2015-03-03,Desktop,Male,1,1,1,1
48532,608962,2015-03-03,Desktop,Female,1,1,1,1
62866,944491,2015-03-03,Mobile,Female,1,1,1,1
19119,752530,2015-03-04,Mobile,Female,1,1,1,1
29381,887265,2015-03-04,Desktop,Male,1,1,1,1
61352,109824,2015-03-04,Desktop,Male,1,1,1,1
76348,621187,2015-03-04,Desktop,Female,1,1,1,1
31810,637430,2015-03-06,Mobile,Male,1,1,1,1
44729,259289,2015-03-06,Mobile,Male,1,1,1,1
38704,656950,2015-03-07,Mobile,Female,1,1,1,1
58954,299683,2015-03-07,Mobile,Female,1,1,1,1
44226,287132,2015-03-08,Mobile,Female,1,1,1,1
22017,419600,2015-03-09,Mobile,Female,1,1,1,1
5558,441411,2015-03-11,Mobile,Female,1,1,1,1
31399,392552,2015-03-12,Mobile,Female,1,1,1,1
50797,71809,2015-03-12,Mobile,Female,1,1,1,1
56013,34018,2015-03-12,Mobile,Male,1,1,1,1
50557,397462,2015-03-13,Mobile,Female,1,1,1,1
73571,128910,2015-03-14,Mobile,Male,1,1,1,1
27876,568670,2015-03-15,Mobile,Female,1,1,1,1
66975,831081,2015-03-15,Mobile,Female,1,1,1,1
83630,541336,2015-03-15,Desktop,Female,1,1,1,1
62467,461169,2015-03-16,Mobile,Male,1,1,1,1
77783,696859,2015-03-16,Mobile,Male,1,1,1,1
76682,365874,2015-03-18,Desktop,Male,1,1,1,1
41220,204498,2015-03-19,Mobile,Male,1,1,1,1
42043,703237,2015-03-19,Desktop,Female,1,1,1,1
46075,704999,2015-03-19,Mobile,Female,1,1,1,1
18739,493077,2015-03-20,Desktop,Female,1,1,1,1
24293,288423,2015-03-20,Mobile,Female,1,1,1,1
61418,263707,2015-03-20,Mobile,Female,1,1,1,1
74293,77337,2015-03-23,Desktop,Male,1,1,1,1
52615,102990,2015-03-24,Desktop,Male,1,1,1,1
75829,59583,2015-03-24,Mobile,Female,1,1,1,1
58607,333347,2015-03-26,Mobile,Female,1,1,1,1
51438,747560,2015-03-27,Mobile,Male,1,1,1,1
68607,827328,2015-03-27,Desktop,Male,1,1,1,1
24787,191576,2015-03-28,Mobile,Male,1,1,1,1
7700,341158,2015-03-29,Mobile,Female,1,1,1,1
16047,57696,2015-03-30,Mobile,Female,1,1,1,1
71171,216558,2015-03-31,Mobile,Female,1,1,1,1
73114,706508,2015-03-31,Desktop,Male,1,1,1,1
60042,258146,2015-04-01,Mobile,Male,1,1,1,1
85568,196016,2015-04-01,Mobile,Male,1,1,1,1
13202,320723,2015-04-02,Desktop,Male,1,1,1,1
3750,498864,2015-04-03,Mobile,Female,1,1,1,1
41657,878813,2015-04-03,Desktop,Male,1,1,1,1
61157,119742,2015-04-03,Mobile,Male,1,1,1,1
13675,512969,2015-04-04,Mobile,Male,1,1,1,1
19849,268582,2015-04-04,Mobile,Female,1,1,1,1
58156,495450,2015-04-04,Mobile,Female,1,1,1,1
10452,316337,2015-04-05,Mobile,Female,1,1,1,1
11899,298664,2015-04-05,Desktop,Male,1,1,1,1
42400,262446,2015-04-05,Desktop,Female,1,1,1,1
32097,777123,2015-04-06,Mobile,Male,1,1,1,1
44197,775450,2015-04-06,Mobile,Male,1,1,1,1
44577,41697,2015-04-06,Mobile,Female,1,1,1,1
14363,308049,2015-04-07,Desktop,Female,1,1,1,1
57027,222999,2015-04-07,Desktop,Female,1,1,1,1
20659,606636,2015-04-08,Mobile,Female,1,1,1,1
6661,549121,2015-04-09,Desktop,Female,1,1,1,1
27533,790254,2015-04-09,Desktop,Female,1,1,1,1
37840,728281,2015-04-09,Mobile,Male,1,1,1,1
39490,281391,2015-04-09,Desktop,Female,1,1,1,1
45737,499856,2015-04-09,Desktop,Male,1,1,1,1
3638,808733,2015-04-11,Desktop,Male,1,1,1,1
19232,792862,2015-04-12,Desktop,Male,1,1,1,1
55783,421083,2015-04-12,Mobile,Male,1,1,1,1
19028,742194,2015-04-13,Mobile,Female,1,1,1,1
40601,601551,2015-04-14,Mobile,Male,1,1,1,1
88925,433684,2015-04-15,Mobile,Female,1,1,1,1
88892,464337,2015-04-17,Desktop,Male,1,1,1,1
22108,173995,2015-04-19,Desktop,Female,1,1,1,1
64099,804470,2015-04-20,Desktop,Male,1,1,1,1
74178,694836,2015-04-20,Desktop,Male,1,1,1,1
859,205268,2015-04-21,Desktop,Female,1,1,1,1
77221,882373,2015-04-21,Desktop,Male,1,1,1,1
83139,140689,2015-04-21,Mobile,Male,1,1,1,1
18763,234188,2015-04-22,Mobile,Male,1,1,1,1
75563,509584,2015-04-22,Mobile,Female,1,1,1,1
71524,896321,2015-04-23,Desktop,Male,1,1,1,1
42760,314021,2015-04-24,Mobile,Male,1,1,1,1
46976,530697,2015-04-24,Desktop,Male,1,1,1,1
30870,331618,2015-04-25,Desktop,Male,1,1,1,1
30133,380175,2015-04-26,Desktop,Female,1,1,1,1
46728,971840,2015-04-27,Mobile,Female,1,1,1,1
78413,122248,2015-04-28,Mobile,Female,1,1,1,1
81446,723542,2015-04-30,Mobile,Male,1,1,1,1
35,126297,2015-01-01,Mobile,Male,1,1,0,0
121,468189,2015-01-01,Mobile,Male,1,1,0,0
323,688968,2015-01-01,Desktop,Female,1,1,0,0
580,587892,2015-01-01,Desktop,Female,1,0,0,0
679,655591,2015-01-01,Desktop,Male,1,1,1,0
868,839067,2015-01-01,Mobile,Female,1,1,0,0
942,122098,2015-01-01,Desktop,Female,1,1,1,0
1114,198831,2015-01-01,Mobile,Female,1,0,0,0
1148,467573,2015-01-01,Mobile,Male,1,1,0,0
1173,242872,2015-01-01,Desktop,Male,1,0,0,0
1264,571618,2015-01-01,Desktop,Male,1,1,0,0
1365,887561,2015-01-01,Desktop,Female,1,1,0,0
1476,724915,2015-01-01,Desktop,Male,1,1,0,0
1912,65449,2015-01-01,Mobile,Male,1,0,0,0
1933,109461,2015-01-01,Mobile,Male,1,1,1,0
1981,787341,2015-01-01,Desktop,Female,1,1,0,0
2026,612913,2015-01-01,Mobile,Female,1,1,0,0
2030,658631,2015-01-01,Desktop,Male,1,0,0,0
2214,501945,2015-01-01,Mobile,Female,1,1,0,0
2372,564944,2015-01-01,Desktop,Female,1,0,0,0
2519,17359,2015-01-01,Desktop,Male,1,0,0,0
2657,840532,2015-01-01,Mobile,Female,1,1,1,0
2691,28219,2015-01-01,Mobile,Male,1,1,0,0
2922,428455,2015-01-01,Desktop,Male,1,0,0,0
2931,672926,2015-01-01,Desktop,Male,1,1,0,0
3160,951753,2015-01-01,Desktop,Male,1,0,0,0
3216,610935,2015-01-01,Desktop,Male,1,1,0,0
3302,813972,2015-01-01,Desktop,Male,1,1,0,0
